Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
HD108236 b; Planet; ; ; 0.1415±0.0087; 3.79523+0.00047 −0.00044; 0.0469±0.0017; 1099+19 −18; transit; 2020; 211; 0.97; 5730±50; ; 
HD108236 c; Planet; ; ; 0.1845+0.0089 −0.0081; 6.2037+0.00064 −0.00052; 0.0651±0.0024; 932+17 −16; transit; 2020; 211; 0.97; 5730±50; ; 
HD108236 d; Planet; ; ; 0.2423±0.0097; 14.1756+0.001 −0.0011; 0.1131±0.004; 708+13 −12; transit; 2020; 211; 0.97; 5730±50; ; 
HD108236 e; Planet; ; ; 0.279+0.012 −0.011; 19.592±0.002; 0.14±0.0052; 636+12 −11; transit; 2020; 211; 0.97; 5730±50; ; 
WASP-148 b; Planet; ; 0.291±0.025; 0.722±0.055; 8.80381±0.000043; 0.22±0.063; 940±80; transit; 2020; 809±5; 1.00±0.08; 5460±130; ; 
WASP-148 c; Planet; ; 0.397+0.203 −0.044; ; 34.515±0.029; 0.359±0.086; 590±50; radial vel.; 2020; 809±5; 1.00±0.08; 5460±130; ; 
NGTS-11 b; Planet; ; 0.37±0.14; 0.823±0.035; 35.4553±0.0002; 0.201±0.002; 440±40; transit; 2020; 624±6; 0.862±0.028; 5050±80; ; 
HIP 67522 b [ja]; Planet; ; 0.25; 0.894+0.048 −0.047; 6.9596+0.000016 −0.000015; ; 1174±21; transit; 2020; 416±4; 1.22±0.05; 5675±75; ; 
HD 63433 b [ru]; Planet; ; 0.017; ±0.009; 7.10801+0.00046 −0.00034; 0.0710+0.0033 −0.0041; ; transit; 2020; 73.08±0.07; 0.99±0.03; 5640±74; ; 
HD 63433 c [ru]; Planet; ; 0.023; 0.238±0.01; 20.5455±0.001; 0.1531+0.0074 −0.0092; ; transit; 2020; 73.08±0.07; 0.99±0.03; 5640±74; ; 
HD 164922 d; Planet; ; 0.013±0.003; ; 12.458±0.003; 0.103±0.003; ; radial vel.; 2020; 72.1±0.9; 0.874±0.012; 5293±32; ; 
OGLE-2006-BLG-284 b; Planet; ; 0.45+0.14 −0.40; ; ; 2.2±0.8; ; microlensing; 2020; 13000±4900; 0.35+0.3 −0.2; ; ; 
Wendelstein-1b; Planet; ; 0.59+0.17 −0.13; 1.0314+0.00204 −0.021; 2.663416±0.000001; 0.0282±0.0009; 1727+78 −90; transit; 2020; 1004±10; 0.65±0.1; 3984+152 −46; ; 
Wendelstein-2b; Planet; ; 0.731+0.541 −0.311; 1.1592±0.0061; 1.7522239±0.0000008; 0.0234±0.0015; 1852+120 −140; transit; 2020; 1875±20; 0.73±0.11; 4288+133 −111; ; 
Kepler-160d; Planet; ; ; 0.170+0.015 −0.012; 378.417+0.028 −0.025; 1.089+0.037 −0.073; 244.8+2.1 −2.9; transit; 2020; 3140±60; 0.88; 5471+115 −37; ; 
K2-315b; Planet; ; ; 0.085±0.005; 3.1443189±0.0000049; 0.0234; 460±5; transit; 2020; 185±1; 0.174±0.004; 3300±30; ; 
TOI-1266 b [ja]; Planet; ; ; 0.2193+0.074 −0.066; 10.894879+0.00007 −0.00007; 0.0745+0.0046 −0.0069; 410+21 −15; transit; 2020; 117.4±1.0; 0.437±0.021; 3563±77; ; 
TOI-1266 c [ja]; Planet; ; ; 0.1492+0.077 −0.095; 18.80152+0.00054 −0.00067; 0.1037+0.0026 −0.0025; 347.1+7.9 −8; transit; 2020; 117.4±1.0; 0.437±0.021; 3563±77; ; 
AU Microscopii b; Planet; ; 0.18; 0.375; 8.46321±0.00004; 0.066; ; transit; 2020; 32.3±0.3; 0.31; 3500±100; ; 
TOI-1728 b [ja]; Planet; ; 0.084+0.017 −0.016; 0.450±0.014; 3.491510+0.000062 −0.000057; 0.0391±0.0009; 767±8; transit; 2020; 198.2±0.5; 0.646+0.023 −0.022; 3980+31 −32; ; 
BD-11 4672 c; Planet; ; 0.048±0.009; ; 74.2+0.06 −0.08; 0.30±0.01; ; radial vel.; 2020; 88.63±0.11; 0.651+0.031 −0.029; 4550±110; ; 
OGLE-2018-BLG-1269Lb; Planet; ; 0.69+0.44 −0.22; ; 4383; 4.61+1.70 −1.17; ; microlensing; 2020; 8300+3000 −2000; 0.35+0.3 −0.2; ; ; 
Lacaille 9352 b; Planet; ; 0.0132±0.0019; ; 9.262±0.001; 0.068±0.002; 468; radial vel.; 2020; 10.721±0.002; 0.468±0.012; 3688±86; ; 
Lacaille 9352 c; Planet; ; 0.0234±0.0038; ; 21.789+0.004 −0.005; 0.120±0.004; 352; radial vel.; 2020; 10.721±0.002; 0.468±0.012; 3688±86; ; 
HAT-P-58b; Planet; ; 0.372±0.03; 1.332±0.043; 4.0138379±0.0000024; 0.04994±0.00044; 1622±18; transit; 2020; 1690±40; 1.031±0.028; 6078±48; ; 
HAT-P-59b; Planet; ; 1.540±0.067; 1.123±0.013; 4.1419771±0.0000012; 0.05064±0.00037; 1278±7; transit; 2020; 871±4; 1.008±0.022; 5678±16; ; 
HAT-P-60b; Planet; ; 0.574±0.038; 1.631±0.024; 4.7947813±0.0000024; 0.06277±0.00017; 1772±12; transit; 2020; 767±7; 1.435±0.012; 6212±26; ; 
HAT-P-61b; Planet; ; 1.057±0.07; 0.899±0.027; 1.90231289±0.00000077; 0.03010±0.00034; 1505±16; transit; 2020; 1120±20; 1.004±0.012; 5587±45; ; 
HAT-P-62b; Planet; ; 0.761±0.088; 1.073±0.029; 2.6453235±0.0000039; 0.03772±0.00024; 1512±13; transit; 2020; 1150±20; 1.023±0.020; 5629±48; ; 
HAT-P-63b; Planet; ; 0.614±0.024; 1.119±0.033; 3.377728±0.000013; 0.04294±0.00035; 1237±11; transit; 2020; 1330±20; 0.925±0.023; 5400+55 −39; ; 
HAT-P-64b; Planet; ; 0.58+0.18 −0.13; 1.703±0.07; 4.0072320±0.0000017; 0.05387±0.00030; 1766+22 −16; transit; 2020; 2135±20; 1.298±0.021; 6457+55 −36; ; 
TOI-1899 b; Planet; ; 0.66±0.07; 1.37+0.05 −0.06; 29.02+0.36 −0.23; 0.1587+0.067 −0.075; 362±7; transit; 2020; 419±1; 0.627+0.026 −0.028; 3841+54 −45; ; 
HATS-37A b; Planet; ; 0.099±0.042; 0.606±0.016; 4.3315; 0.1587+0.067 −0.075; 1085+16 −12; transit; 2020; 695; 0.843+0.017 −0.012; 5247±50; ; 
HATS-38 b; Planet; ; 0.074±0.011; 0.614±0.0176; 4.375; 0.1587+0.067 −0.075; 1294±10; transit; 2020; 1131; 0.890+0.016 −0.012; 5740±50; ; 
TYC 8998-760-1 c; Planet; ; 6±1; 1.1+0.6 −0.3; ; 320; 1240+160 −170; imaging; 2020; 309.4±0.9; ; 4783; ; 
HD 86226 c; Planet; ; 0.023±0.004; 0.193±0.007; 3.98442±0.00018; 0.049±0.001; 1311±28; transit; 2020; 149; 1.019+0.061 −0.066; 5863±88; ; 
Gliese 2056 b; Planet; ; 0.444±0.053; ; 69.971±0.061; 0.283±0.0013; ; radial vel.; 2020; 92.8; 0.62±0.08; ; ; 
Gliese 480 b; Planet; ; 0.042±0.005; ; 9.567±0.005; 0.068±0.001; ; radial vel.; 2020; 46.4; 0.45±0.02; ; ; 
Gliese 687 c; Planet; ; 0.050±0.013; ; 728±12; 1.165±0.023; ; radial vel.; 2020; 14.83; 0.40±0.02; ; ; 
HIP 107772 b [ja]; Planet; ; 0.049+0.014 −0.030; ; 55.259+0.111 −0.311; 0.243+0.022 −0.027; ; radial vel.; 2020; 77.1; 0.63±0.08; ; ; 
HIP 38594 b [ja]; Planet; ; 0.026+0.012 −0.014; ; 60.711+0.426 −0.192; 0.256+0.006 −0.007; ; radial vel.; 2020; 58; 0.61±0.02; ; ; 
HIP 38594 c; Planet; ; 0.135+0.077 −0.035; ; 3525+541 −572; 3.842+0.399 −0.441; ; radial vel.; 2020; 58; 0.61±0.02; ; ; 
HIP 4845 b; Planet; ; 0.053+0.016 −0.028; ; 34.151+0.17 −0.09; 0.177+0.016 −0.020; ; radial vel.; 2020; 68.8; 0.62±0.04; ; ; 
HIP 48714 b; Planet; ; 0.071+0.023 −0.020; ; 17.819+0.004 −0.009; 0.112±0.003; ; radial vel.; 2020; 34.3; 0.58±0.02; ; ; 
TOI 824 b; Planet; ; 0.058±0.006; 0.261+0.018 −0.017; 1.392978+0.000018 −0.000017; 0.02177±0.00032; 1253+38 −37; transit; 2020; 208; 0.69+0.009 −0.007; 4569±50; ; 
Proxima Centauri c; Planet; ; 0.0179±0.006; ; 1928±20; 1.489±0.049; 39+16 −18; radial vel.; 2020; 4.244±0.001; 0.1221±0.0022; 3042±117; ; 
TOI-763 b; Planet; ; 0.031±0.002; 0.203±0.010; 5.6057±0.0013; 0.0600±0.0006; 1038±16; transit; 2020; 311; 0.917±0.028; 5444±110; ; 
TOI-763 c; Planet; ; 0.029±0.003; 0.235±0.011; 12.2737+0.0053 −0.0077; 0.1011±0.0010; 800±12; transit; 2020; 311; 0.917±0.028; 5444±110; ; 
TOI-763 d; Planet; ; 0.030±0.005; ; 47.7991±2.7399; 0.2504+0.0093 −0.0105; 509±12; radial vel.; 2020; 311; 0.917±0.028; 5444±110; ; 
TOI-561 b; Planet; ; 0.0050±0.0011; 0.127±0.006; 0.446578±0.000017; 0.01055±0.00008; ; transit; 2020; 279.2±1.6; 0.785±0.018; 5455+65 −47; ; 
TOI-561 c; Planet; ; 0.017±0.003; 0.257±0.009; 10.779±0.004; 0.08809±0.0007; ; transit; 2020; 279.2±1.6; 0.785±0.018; 5455+65 −47; ; 
TOI-561 d; Planet; ; 0.038±0.004; 0.226±0.011; 25.62±0.04; 0.1569±0.0012; ; transit; 2020; 279.2±1.6; 0.785±0.018; 5455+65 −47; ; 
TOI-561 e; Planet; ; 0.050±0.007; 0.238±0.010; 77.23±0.39; 0.3274+0.0028 −0.0027; ; transit; 2020; 279.2±1.6; 0.785±0.018; 5455+65 −47; ; 
TOI-1266 b; Planet; ; 0.042+0.035 −0.028; 0.212+0.014 −0.011; 10.894843+0.000067 −0.000066; 0.0736+0.0016 −0.0017; 413±20; transit; 2020; 117.5±0.1; 0.48±0.1; 3570±100; ; 
TOI-1266 c; Planet; ; 0.007+0.006 −0.005; 0.139+0.013 −0.012; 18.80151+0.00067 −0.00069; 0.1058+0.0023 −0.0024; 344±16; transit; 2020; 117.5±0.1; 0.48±0.1; 3570±100; ; 
Gl 414 A b; Planet; ; 0.029+0.010 −0.008; 0.263+0.099 −0.081; 50.817+0.031 −0.03; 0.24±0.01; 303.7±32.5; radial vel.; 2020; 38.8; 0.650±0.08; 4120±109; ; 
Gl 414 A c; Planet; ; 0.177+0.033 −0.031; 0.784+0.360 −0.238; 748.3+1.3 −1.2; 1.43±0.06; 123.3±13.2; radial vel.; 2020; 38.8; 0.650±0.08; 4120±109; ; 
TOI 837 b; Planet; ; <1.2; 0.768+0.091 −0.072; 8.3248762±0.0000157; ; ; transit; 2020; 466.5±1.2; 1.118±0.059; 6047±162; ; 
TOI-776 b; Planet; ; 0.0147±0.0031; 0.163±0.010; 8.24664+0.00009 −0.00006; 0.0652±0.0011; 513±12; transit; 2020; 88.6±0.1; 0.544±0.028; 3709±70; ; 
TOI-776 c; Planet; ; 0.0192±0.0047; 0.184±0.012; 15.6653+0.0008 −0.0007; 0.1000±0.0017; 415±10; transit; 2020; 88.6±0.1; 0.544±0.028; 3709±70; ; 
MOA-2009-BLG-319Lb; Planet; ; 0.2077±0.0255; ; ; 2.03±0.21; ; microlensing; 2020; 22800±2300; 0.514±0.063; ; ; 
TOI-481 b; Planet; ; 1.53±0.03; 0.99±0.01; 10.33111±0.00002; 0.097±0.001; 1370±10; transit; 2020; 587; 1.14+0.02 −0.01; 5735±72; ; 
TOI-892 b; Planet; ; 0.95±0.07; 1.07±0.02; 10.62656±0.00007; 0.092±0.005; 1397±40; transit; 2020; 1120; 1.28+0.03 −0.02; 6261±80; ; 
GJ 3473 b; Planet; ; 0.0059±0.0009; 0.113±0.004; 1.1980035+0.0000018 −0.0000019; 0.01589±0.00062; 773+16 −15; transit; 2020; 89.29±0.13; 0.360±0.016; 3347±54; ; 
GJ 3473 c; Planet; ; 0.0233+0.0029 −0.0027; ; 15.509±0.033; 0.0876+0.0035 −0.0034; 329.1+6.6 −6.4; radial vel.; 2020; 89.29±0.13; 0.360±0.016; 3347±54; ; 
NGTS-12b; Planet; ; 0.208±0.022; 1.048±0.032; 7.532806±0.000048; 0.0757±0.0014; 1257±34; transit; 2020; 1474±25; 1.021+0.056 −0.049; 5690±130; ; 
OGLE-2016-BLG-1928; Planet; ; 0.001; ; ; n/a; ; microlensing; 2020; 30000; n/a; n/a; ; 
LTT 9779 b [it]; Planet; ; 0.092±0.003; 0.421±0.021; 0.792054±0.000014; 0.01679±0.0014; 2000; transit; 2020; 262.8±1.0; 1.02+0.02 −0.03; 5499±50; ; 
TOI 540 b [ja]; Planet; ; ; 0.081±0.005; 1.2391491±0.0000017; 0.01223±0.00036; 611±23; transit; 2020; 45.67±0.29; 0.159±0.014; 3216±83; ; 
HD 238090 b; Planet; ; 0.0217+0.0029 −0.0030; ; 13.671+0.011 −0.010; 0.0932±0.0011; 469.6+2.3 −2.6; radial vel.; 2020; 49.68±0.03; 0.578±0.021; 3933±51; ; 
TIC 237913194b; Planet; ; 1.942+0.092 −0.091; 1.117+0.054 −0.047; 15.168865±0.000018; 0.1207±0.0037; 974; transit; 2020; 1009±6; 1.026+0.057 −0.055; 5788±80; ; 
EPIC 201170410 b; Planet; ; ; 0.09341; 6.7987; 0.0349; ; transit; 2020; 437+149 −130; 0.287+0.101 −0.084; 3648+172 −143; ; 
EPIC 201757695 b; Planet; ; ; 0.08101; 2.0478; 0.0296; ; transit; 2020; 1880±110; 0.727+0.044 −0.053; 4520+108 −54; ; 
OGLE-2018-BLG-0799Lb; Planet; ; 0.22+0.19 −0.06; ; ; 1.27+0.45 −0.29; ; microlensing; 2020; 16000; 0.08+0.08 −0.02; ; ; 
TOI-954 b; Planet; ; 0.174+0.018 −0.017; 0.852+0.053 −0.062; 3.6849729+0.0000027 −0.0000028; 0.04963+0.00089 −0.00090; 1526+123 −164; transit; 2020; 768.5±8.3; 1.201+0.066 −0.064; 5710+53 −49; ; 
EPIC 246193072 b; Planet; ; 0.260+0.020 −0.022; 0.774+0.026 −0.024; 12.4551225±0.0000031; 0.1016+0.0018 −0.0019; 650+53 −70; transit; 2020; 760±9; 0.912+0.048 −0.049; 5282+40 −39; ; 
WASP-186 b; Planet; ; 4.22±0.18; 1.11±0.03; 5.026799+0.000012 −0.000014; 0.0600+0.0012 −0.0013; 1348+23 −22; transit; 2020; 913±11; 1.22+0.07 −0.08; 6361+105 −82; ; 
WASP-187 b; Planet; ; 0.80±0.09; 1.64±0.05; 5.147878+0.000005 −0.000009; 0.0653±0.0013; 1726+31 −2; transit; 2020; 1224±21; 1.54±0.09; 6150+92 −85; ; 
TOI 122b; Planet; ; 0.028+0.029 −0.010; 0.243±0.016; 5.078030±0.000015; 0.0392±0.0007; 471; transit; 2020; 202.9±0.7; 0.312±0.007; 3403±100; ; 
TOI 237b; Planet; ; 0.009+0.006 −0.003; 0.128±0.011; 5.436098±0.000039; 0.0341±0.0010; 388; transit; 2020; 124.2±0.7; 0.179±0.004; 3212±100; ; 
HAT-P-68b; Planet; ; 0.724±0.043; 1.072±0.012; 2.29840551±0.00000052; 0.02996+0.00043 −0.00012; 1027.8±8.2; transit; 2020; 662±3; 0.6785+0.0299 −0.0079; 4514±50; ; 
LP 714-47 b; Planet; ; 0.097±0.005; 0.420±0.027; 4.052037±0.000004; 0.0417±0.0005; 700+19 −24; transit; 2020; 171.8±0.4; 0.59±0.02; 3950±51; ; 
CFHTWIR-Oph 98 B; Planet; ; 7.8+0.7 −0.8; 1.86±0.04; ; 200; 1800±40; imaging; 2020; 447±13; 0.015; 2320±40; ; 
HD 190007 b; Planet; ; 0.052±0.005; ; 11.72; ; ; radial vel.; 2020; 41.47±0.03; 0.77±0.02; 4610±20; ; 
HD 216520 b; Planet; ; 0.032±0.003; ; 35.45; ; ; radial vel.; 2020; 63.77±0.03; 0.82±0.04; 5103±20; ; 
HD 216520 c; Planet; ; 0.030±0.005; ; 154.43; ; ; radial vel.; 2020; 63.77±0.03; 0.82±0.04; 5103±20; ; 
TOI-519 b; Planet; ; <14; 0.75±0.21; 1.2652328±0.0000005; 0.012±0.004; 760±54; transit; 2020; 378±3; 0.369+0.026 −0.097; 3350+100 −200; ; 
TOI-260 b; Planet; ; 0.009+0.013 −0.009; 0.157±0.027; 13.478048±0.005188; ; ; transit; 2020; 65.84±0.07; ; ; ; 
TOI-784 b; Planet; ; 0.031±0.004; 0.171±0.015; 2.797179±0.000158; ; ; transit; 2020; 211±0.4; ; ; ; 
TOI-836 b; Planet; ; 0.047±0.011; 0.224±0.029; 8.592004±0.002328; ; ; transit; 2020; 89.73±0.10; ; ; ; 
TOI-836 c; Planet; ; 0.018±0.004; 0.162±0.024; 3.816514±0.000757; ; ; transit; 2020; 89.73±0.10; ; ; ; 
EPIC 201085153 b; Planet; ; ; 0.214±0.089; 0.25722±0.000039; ; ; transit; 2020; ; ; 3945±386; ; 
EPIC 201085153 c; Planet; ; ; 0.125+0.179 −0.125; 2.259797±0.0008; ; ; transit; 2020; ; ; 3945±386; ; 
EPIC 201427007 b; Planet; ; ; 0.134±0.018; 0.72091±0.000067; ; ; transit; 2020; ; ; 5633±111; ; 
EPIC 201595106 b; Planet; ; ; 0.116±0.009; 0.877214±0.000087; ; ; transit; 2020; 762±9; ; 5820±20; ; 
EPIC 201650711 c; Planet; ; ; 0.036±0.007; 5.544059±0.00016; ; ; transit; 2020; 298.8±1.7; ; 4310±92; ; 
EPIC 205152172 b; Planet; ; ; 0.107±0.018; 0.980088±0.000026; ; ; transit; 2020; 517±2; 0.669±0.016; 4202±242; ; 
K2-299c; Planet; ; ; 0.223±0.080; 14.648966±0.000031; ; ; transit; 2020; 1219±16; ; 5724±72; ; 
K2-299d; Planet; ; ; 0.152±0.054; 4.507464±0.0000077; ; ; transit; 2020; 1219±16; ; 5724±72; ; 
K2-301c; Planet; ; ; 0.152±0.018; 5.2986±0.00035; ; ; transit; 2020; 1491±45; ; 4114±99; ; 
TOI-251b; Planet; ; ; 0.245±0.016; 4.937770+0.000028 −0.000029; 0.05741+0.00023 −0.00017; ; transit; 2020; 324.4±1.4; 1.036+0.013 −0.009; 5875+100 −190; ; 
TOI-942b; Planet; ; ; 0.429±0.018; 4.324190±0.00003; 0.04796+0.00073 −0.00065; ; transit; 2020; 498±2; 0.788+0.037 −0.031; 4928+125 −85; ; 
TOI-942c; Planet; ; ; 0.517+0.017 −0.016; 10.156430+0.000069 −0.000079; 0.0847+0.0012 −0.0011; ; transit; 2020; 498±2; 0.788+0.037 −0.031; 4928+125 −85; ; 
K2-302c; Planet; ; ; 0.089±0.009; 2.255438±0.000037; ; ; transit; 2020; 359.3±3.5; ; 3297±73; ; 
K2-302d; Planet; ; ; 0.098±0.009; 2.909216±0.000032; ; ; transit; 2020; 359.3±3.5; ; 3297±73; ; 
EPIC 206298289 b; Planet; ; ; 0.078±0.009; 0.434847±0.000022; ; ; transit; 2020; 492±6; ; 3875±157; ; 
K2-85 b; Planet; ; ; 0.107±0.009; 0.684559±0.000026; ; ; transit; 2020; 317.8±1.2; ; 4427±48; ; 
EPIC 210801536 b; Planet; ; ; 0.088±0.027; 0.892592±0.00012; ; ; transit; 2020; ; ; 5304±259; ; 
EPIC 212624936 b; Planet; ; ; 0.517+0.098 −0.027; 0.578657±0.000066; ; ; transit; 2020; ; ; 5765±170; ; 
EPIC 212624936 c; Planet; ; ; 0.214+0.098 −0.057; 11.811437±0.00016; ; ; transit; 2020; ; ; 5765±170; ; 
K2-211c; Planet; ; ; 0.116±0.018; 2.601404±0.000072; ; ; transit; 2020; 895±14; 0.882+0.019 −0.027; 5360±51; ; 
EPIC 220440058 b; Planet; ; ; 0.125±0.036; 0.626683±0.00005; ; ; transit; 2020; ; ; 3682±217; ; 
EPIC 220492298 b; Planet; ; ; 0.085±0.018; 0.762406±0.00014; ; ; transit; 2020; ; ; 5620±31; ; 
K2-282d; Planet; ; ; 0.232±0.027; 27.248322±0.00047; ; ; transit; 2020; 1638.22±25.34; 0.94±0.04; 5499±109; ; 
EPIC 228836835 b; Planet; ; ; 0.089±0.027; 0.728113±0.00004; ; ; transit; 2020; 491±6; ; 3782±152; ; 
K2-106c; Planet; ; ; 0.188±0.018; 13.334621±0.000068; ; ; transit; 2020; 803±10; ; 5613±39; ; 
Kepler-1514c; Planet; ; ; 0.1049+0.0051 −0.0039; 10.514181±0.000039; 0.0997±0.0018; 1066+16 −14; transit; 2020; 1240; 1.196+0.065 −0.063; 6145+99 −80; ; 
OGLE-2017-BLG-1049Lb; Planet; ; 5.53+3.62 −2.87; ; ; 3.92+1.10 −1.32; ; microlensing; 2020; 18500+3600 −4500; 0.55+0.36 −0.29; ; ; 
AU Microscopii c; Planet; ; <0.087; 0.320±0.014; 18.858991±0.000010; 0.1101±0.0022; 454±16; transit; 2020; 31.7; 0.50±0.03; 3700±100; ; 
HD 25723 b; Planet; ; 2.51; ; 456.78; 1.49; ; radial vel.; 2020; 375; 2.1±0.3; ; ; 
HD 25723 c; Planet; ; 1.33; ; 2369.84; 4.35; ; radial vel.; 2020; 375; 2.1±0.3; ; ; 
Chi Scorpii b; Planet; ; 4.32+0.15 −0.12; ; 573.4±2.0; 1.45±0.02; ; radial vel.; 2020; 408; 1.09±0.15; 4157±11; ; 
HD 60292 b; Planet; ; 6.5±1.0; ; 495.4±3.0; 1.5±0.1; ; radial vel.; 2020; 1036±10; 1.7±0.2; 4348±28; ; 
HD 112640 b; Planet; ; 5.0±1.0; ; 613.2±5.8; 1.7±0.1; ; radial vel.; 2020; 1065±6; 1.8±0.2; 4155±15; ; 
K2-111 c; Planet; ; 0.0356±0.0035; ; 15.6785+0.0064 −0.0063; 0.1166±0.0025; ; radial vel.; 2020; 680±60; 0.89±0.02; 5730±50; ; 
K2-316b; Planet; ; ; 0.119; 1.133; 0.0147; 841; transit; 2020; 368; ; ; ; 
K2-316c; Planet; ; ; 0.163; 5.26; 0.0582; 423; transit; 2020; 368; ; ; ; 
K2-317b; Planet; ; ; 0.261; 6.22; 0.0542; 432; transit; 2020; 577; ; ; ; 
K2-318b; Planet; ; ; 0.148; 7.01; 0.0911; 456; transit; 2020; 483; ; ; ; 
K2-319b; Planet; ; ; 0.249; 26.68; 0.1516; 641; transit; 2020; 686; ; ; ; 
K2-320b; Planet; ; ; 0.234; 1.995; 0.0142; 698; transit; 2020; 356; ; ; ; 
K2-321b; Planet; ; ; 0.174; 2.298; 0.041; 701; transit; 2020; 254; ; ; ; 
K2-322b; Planet; ; ; 0.171; 8.205; 0.0594; 635; transit; 2020; 404; ; ; ; 
K2-323b; Planet; ; ; 0.187; 24.93; 0.1275; 318; transit; 2020; 387; ; ; ; 
K2-324b; Planet; ; ; 0.217; 3.262; 0.0331; 707; transit; 2020; 447; ; ; ; 
K2-325b; Planet; ; ; 0.196; 6.93; 0.0419; 423; transit; 2020; 365; ; ; ; 
K2-326b; Planet; ; ; 0.203; 1.256; 0.0198; 1114; transit; 2020; 928; ; ; ; 
KMT-2016-BLG-2397b; Planet; ; 2.42; ; ; 2.83; ; microlensing; 2020; 16000; 0.62+0.29 −0.30; ; ; 
KMT-2016-BLG-2364b; Planet; ; 3.93; ; ; 2.63; ; microlensing; 2020; 21000; 0.50+0.40 −0.22; ; ; 
OGLE-2017-BLG-1375b; Planet; ; 10.33; ; ; 2.97; ; microlensing; 2020; 12000; 0.77+0.27 −0.23; ; ; 
OGLE-2017-BLG-0604b; Planet; ; 0.51; ; ; 4.06; ; microlensing; 2020; 13000; 0.70±0.28; ; ; 
KMT-2018-BLG-0748Lb; Planet; ; 0.18+0.29 −0.10; ; ; 0.62±0.09; ; microlensing; 2020; 24000; 0.0870+0.138 −0.047; ; ; 
KMT-2019-BLG-1339Lb; Planet; ; 12.2+16.1 −6.7; ; ; 0.67+0.77 −0.55; ; microlensing; 2020; 23000±3000; 0.27+0.366 −0.15; ; ; 
KMT-2019-BLG-2073 [ja]; Planet; ; 0.19; ; ; ; ; microlensing; 2020; 12000; ; ; ; 
OGLE-2019-BLG-0551; Planet; ; 0.0242; ; ; ; ; microlensing; 2020; ; ; ; ; 
TVLM 513-46546 b; Planet; ; 0.38±0.24; ; 221±5; 0.3±0.0036; ; astrometry; 2020; 34.90±0.07; 0.09; 2500; ; 
CD Ceti b [es]; Planet; ; 0.0124+0.0013 −0.0014; ; 2.29070±0.00012; 0.0185+0.0013 −0.0013; 464±18; radial vel.; 2020; 28.07; 0.161±0.010; 3130±51; ; 
OGLE-2018-BLG-0799Lb; Planet; ; 0.22+0.19 −0.06; ; ; 1.27+0.45 −0.29; ; microlensing; 2020; 16000; 0.08+0.08 −0.02; ; ; 
WD 1856+534 b; Planet; ; 13.8; 0.93±0.09; 1.4079405±0.0000011; 0.0204±0.0012; ; transit; 2020; 80.737±0.144; 0.518±0.055; 4710±60; ; 
Kepler-1649c; Planet; ; 0.0038; 0.095+0.014 −0.010; 19.53527±0.00010; 0.0649; 234±20; transit; 2020; 301.6±1.6; 0.1977±0.0051; 3240±61; ; 
Kepler-305e; Planet; ; ; 0.16; 3.20538; ; ; transit; 2020; 2900±90; ; ; ; 
Kepler-385d; Planet; ; ; 0.233; 56.4159; ; ; transit; 2020; 4870±160; ; ; ; 
Kepler-598c; Planet; ; ; 0.27; 86.4945; ; ; transit; 2020; 2260±40; ; ; ; 
Kepler-647c; Planet; ; ; 0.357; 29.6663; ; ; transit; 2020; 3660±70; ; ; ; 
Kepler-716c; Planet; ; ; 0.124; 3.96999; ; ; transit; 2020; 2110±30; ; ; ; 
Kepler-783c; Planet; ; ; 0.208; 7.05395; ; ; transit; 2020; 1707±15; ; ; ; 
Kepler-1001c; Planet; ; ; 0.14; 9.18186; ; ; transit; 2020; 3110±80; ; ; ; 
Kepler-1085c; Planet; ; ; 0.291; 56.7771; ; ; transit; 2020; 4630±150; ; ; ; 
Kepler-1662b; Planet; ; 0.223; 0.79; 134.4628; ; ; transit; 2020; ; ; ; ; 
Kepler-1663b; Planet; ; ; 0.294; 17.6046; ; ; transit; 2020; 1112±11; ; ; ; 
Kepler-1664b; Planet; ; ; 0.27; 14.3868; ; ; transit; 2020; ; ; ; ; 
Kepler-1665b; Planet; ; ; 0.253; 11.9548; ; ; transit; 2020; 1104±5; ; ; ; 
Kepler-1666b; Planet; ; ; 0.257; 25.8476; ; ; transit; 2020; 4680±190; ; ; ; 
Kepler-1666c; Planet; ; ; 0.257; 25.8476; ; ; transit; 2020; 4680±190; ; ; ; 
Kepler-1667b; Planet; ; ; 0.266; 83.5781; ; ; transit; 2020; 2080±20; ; ; ; 
Kepler-1668b; Planet; ; ; 0.388; 15.434; ; ; transit; 2020; 4500±200; ; ; ; 
Kepler-1669b; Planet; ; ; 0.248; 9.51216; ; ; transit; 2020; 1800±40; ; ; ; 
Kepler-1670b; Planet; ; ; 0.299; 20.4998; ; ; transit; 2020; 7200±400; ; ; ; 
