Country,week day,day,meaning,type,notes
puerto-rico,Monday,Feb 16,National Heroes' Day,National Holiday,
puerto-rico,Monday,Mar 02,American Citizenship day,National Holiday,
puerto-rico,Sunday,Mar 22,Emancipation Day,National Holiday,
puerto-rico,Friday,Apr 03,Holy Friday,National Holiday,
puerto-rico,Sunday,Apr 05,Easter Sunday,National Holiday,
puerto-rico,Sunday,May 10,Mother's Day,Not A Public Holiday,Second Sunday in May. Not a public holiday
puerto-rico,Monday,May 25,Memorial Day,National Holiday,Last Monday in May
puerto-rico,Sunday,Jun 21,Father's Day,Not A Public Holiday,Third Sunday in June. Not a public holiday
puerto-rico,Saturday,Jul 04,US Independence Day,National Holiday,
puerto-rico,Monday,Sep 07,Labor Day,National Holiday,1st Monday in September
puerto-rico,Monday,Oct 12,Columbus Day,National Holiday,2nd Monday in October
puerto-rico,Wednesday,Nov 11,Veterans Day,National Holiday,
puerto-rico,Thursday,Nov 19,Discovery Day,National Holiday,
puerto-rico,Thursday,Nov 26,Thanksgiving,National Holiday,4th Thursday in November
puerto-rico,Thursday,Dec 24,Christmas Eve,National Holiday,Afternoon only
puerto-rico,Friday,Dec 25,Christmas Day,National Holiday,
qatar,Tuesday,Feb 10,National Sports Day,National Holiday,2nd Tuesday in February
qatar,Sunday,Mar 01,Early March Bank Holiday,Not A Public Holiday,First Sunday of March
qatar,Tuesday,Mar 17,Eid Al Fitr,National Holiday,End of Ramadan
qatar,Wednesday,Mar 18,Eid Al Fitr Holiday,National Holiday,
qatar,Thursday,Mar 19,Eid Al Fitr Holiday,National Holiday,
qatar,Friday,Mar 20,Eid Al Fitr Holiday,National Holiday,
qatar,Saturday,Mar 21,Eid Al Fitr Holiday,National Holiday,
qatar,Sunday,Mar 22,Eid Al Fitr Holiday,National Holiday,
qatar,Monday,Mar 23,Eid Al Fitr Holiday,National Holiday,
qatar,Tuesday,May 26,Eid Al Adha,National Holiday,Feast of the Sacrifice
qatar,Wednesday,May 27,Eid Al Adha Holiday,National Holiday,
qatar,Thursday,May 28,Eid Al Adha Holiday,National Holiday,
qatar,Friday,May 29,Eid Al Adha Holiday,National Holiday,
qatar,Saturday,May 30,Eid Al Adha Holiday,National Holiday,
qatar,Friday,Dec 18,National Day,National Holiday,Founder's Day
romania,Thursday,Jan 01,New Year's Day,National Holiday,
romania,Friday,Jan 02,Day after New Year's Day,National Holiday,
romania,Tuesday,Jan 06,Feast of the Theophany,National Holiday,
romania,Wednesday,Jan 07,Synaxis of St. John the Baptist,National Holiday,
romania,Saturday,Jan 24,Unification Day,National Holiday,Little Union Day
romania,Sunday,Mar 01,Martisor,Not A Public Holiday,The traditional beginning of Spring
romania,Friday,Apr 10,Orthodox Good Friday,National Holiday,From 2018
romania,Sunday,Apr 12,Orthodox Easter Day,National Holiday,Movable
romania,Monday,Apr 13,Orthodox Easter Monday,National Holiday,Movable
romania,Friday,May 01,Labour Day,National Holiday,International Workers' Day
romania,Sunday,May 03,Mother's Day,Not A Public Holiday,First Sunday in May
romania,Sunday,May 10,Father's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
romania,Sunday,May 31,Orthodox Pentecost,National Holiday,
romania,Monday,Jun 01,International Children's Day,National Holiday,
romania,Monday,Jun 01,Descent of the Holy Spirit,National Holiday,50 days after Orthodox Easter
romania,Saturday,Aug 15,St Mary's Day,National Holiday,
romania,Monday,Nov 30,Feast of St. Andrew,National Holiday,Saint Andrew is the patron saint of Romania
romania,Tuesday,Dec 01,National Day,National Holiday,Great Union Day
romania,Friday,Dec 25,Christmas Day,National Holiday,
romania,Saturday,Dec 26,Second day of Christmas,National Holiday,
russia,Thursday,Jan 01,New Year's Day,National Holiday,
russia,Friday,Jan 02,New Year's Holiday (bridge day),National Holiday,Bridge Holiday
russia,Saturday,Jan 03,New Year's Holiday (bridge day),National Holiday,Bridge Holiday
russia,Tuesday,Jan 06,New Year's Holiday (bridge day),National Holiday,Bridge Holiday
russia,Wednesday,Jan 07,Orthodox Christmas,National Holiday,
russia,Thursday,Jan 08,Orthodox Christmas Holiday,National Holiday,
russia,Friday,Jan 09,Orthodox Christmas Holiday,National Holiday,
russia,Monday,Feb 23,Defence of the Fatherland Day,National Holiday,Originally known as Red Army Day
russia,Sunday,Mar 08,International Women's Day,National Holiday,
russia,Monday,Mar 09,International Women's Day (in lieu),National Holiday,
russia,Sunday,Apr 12,Orthodox Easter Day,Not A Public Holiday,
russia,Friday,May 01,Day of Spring and Labor,National Holiday,International Workers' Day
russia,Saturday,May 09,Victory Day,National Holiday,
russia,Monday,May 11,Victory Day (in lieu),National Holiday,
russia,Friday,Jun 12,Russia Day,National Holiday,National Day
russia,Monday,Nov 02,Day of Unity Holiday,National Holiday,Compensated by Sun. Nov 1
russia,Tuesday,Nov 03,Day of Unity Holiday,National Holiday,
russia,Wednesday,Nov 04,Day of Unity,National Holiday,
russia,Sunday,Nov 29,Mother's Day,Not A Public Holiday,Last Sunday in November. Not a public holiday
rwanda,Thursday,Jan 01,New Year's Day,Official Holiday,
rwanda,Friday,Jan 02,New Year,Official Holiday,Holiday by Presidential Order
rwanda,Sunday,Feb 01,Heroes' Day,Official Holiday,
rwanda,Monday,Feb 02,Heroes' Day (in lieu),Official Holiday,
rwanda,Friday,Mar 20,Eid Ul Fitr,Official Holiday,End of Ramadan
rwanda,Friday,Apr 03,Good Friday,Official Holiday,
rwanda,Monday,Apr 06,Easter Monday,Official Holiday,
rwanda,Tuesday,Apr 07,Genocide against the Tutsi Memorial Day,Official Holiday,
rwanda,Friday,May 01,Worker's Day,Official Holiday,International Workers' Day
rwanda,Thursday,May 28,Eid El Haj,Official Holiday,Feast of the Sacrifice
rwanda,Wednesday,Jul 01,Independence Day,Official Holiday,National Day
rwanda,Saturday,Jul 04,Liberation Day,Official Holiday,
rwanda,Sunday,Jul 05,Liberation Day (in lieu),Official Holiday,
rwanda,Friday,Aug 07,Umuganura Day,Official Holiday,First Friday of August
rwanda,Saturday,Aug 15,Assumption Day,Official Holiday,
rwanda,Monday,Aug 17,Assumption Day (in lieu),Official Holiday,
rwanda,Friday,Dec 25,Christmas Day,Official Holiday,
rwanda,Saturday,Dec 26,Boxing Day,Official Holiday,
saint-barthelemy,Wednesday,Nov 11,Armistice Day,National Holiday,
saint-kitts-and-nevis,Thursday,Jan 01,New Year's Day,National Holiday,National Carnival Parade
saint-kitts-and-nevis,Friday,Jan 02,Carnival Day,National Holiday,National Carnival Last Lap Parade
saint-kitts-and-nevis,Friday,Apr 03,Good Friday,National Holiday,
saint-kitts-and-nevis,Monday,Apr 06,Easter Monday,National Holiday,
saint-kitts-and-nevis,Monday,May 04,Labour Day,National Holiday,First Monday in May
saint-kitts-and-nevis,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
saint-kitts-and-nevis,Monday,Aug 03,Emancipation Day,National Holiday,First Monday in August
saint-kitts-and-nevis,Tuesday,Aug 04,Culturama Day,National Holiday,Tuesday after first Monday in August
saint-kitts-and-nevis,Wednesday,Sep 16,National Heroes Day,National Holiday,
saint-kitts-and-nevis,Saturday,Sep 19,Independence Day,National Holiday,National Day
saint-kitts-and-nevis,Monday,Sep 21,Independence Day (in lieu),National Holiday,National Day
saint-kitts-and-nevis,Friday,Dec 25,Christmas Day,National Holiday,
saint-kitts-and-nevis,Saturday,Dec 26,Boxing Day,National Holiday,
saint-lucia,Thursday,Jan 01,New Year's Day,National Holiday,
saint-lucia,Friday,Jan 02,Day after New Year's Day,National Holiday,
saint-lucia,Sunday,Feb 22,Independence Day,National Holiday,
saint-lucia,Monday,Feb 23,Independence Day (in lieu),National Holiday,
saint-lucia,Friday,Apr 03,Good Friday,National Holiday,
saint-lucia,Monday,Apr 06,Easter Monday,National Holiday,
saint-lucia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
saint-lucia,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
saint-lucia,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
saint-lucia,Saturday,Aug 01,Emancipation Day,National Holiday,
saint-lucia,Monday,Oct 05,Thanksgiving Day,National Holiday,First Monday in October
saint-lucia,Sunday,Dec 13,National Day,National Holiday,Feast day of Saint Lucia
saint-lucia,Monday,Dec 14,National Day (in lieu),National Holiday,Feast day of Saint Lucia
saint-lucia,Friday,Dec 25,Christmas Day,National Holiday,
saint-lucia,Saturday,Dec 26,Boxing Day,National Holiday,
saint-martin,Thursday,Jan 01,New Year's Day,National Holiday,
saint-martin,Friday,Apr 03,Good Friday,Not A Public Holiday,Banks
saint-martin,Monday,Apr 06,Easter Monday,National Holiday,
saint-martin,Friday,May 01,Labour Day,National Holiday,International Workers' Day
saint-martin,Friday,May 08,Victory Day,National Holiday,
saint-martin,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
saint-martin,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
saint-martin,Thursday,May 28,Abolition Day,National Holiday,
saint-martin,Tuesday,Jul 14,Bastille Day,National Holiday,French National Day
saint-martin,Saturday,Aug 15,Assumption Day,National Holiday,
saint-martin,Sunday,Nov 01,All Saints' Day,National Holiday,
saint-martin,Wednesday,Nov 11,Armistice Day,National Holiday,
saint-martin,Friday,Dec 25,Christmas Day,National Holiday,
saint-vincent-and-the-grenadines,Thursday,Jan 01,New Year's Day,National Holiday,
saint-vincent-and-the-grenadines,Saturday,Mar 14,National Heroes' Day,National Holiday,
saint-vincent-and-the-grenadines,Friday,Apr 03,Good Friday,National Holiday,
saint-vincent-and-the-grenadines,Monday,Apr 06,Easter Monday,National Holiday,
saint-vincent-and-the-grenadines,Friday,May 01,National Worker's Day,National Holiday,
saint-vincent-and-the-grenadines,Thursday,May 21,Spiritual Baptist Liberation Day,National Holiday,
saint-vincent-and-the-grenadines,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
saint-vincent-and-the-grenadines,Monday,Jul 06,Vincy Mas,National Holiday,Usually First Monday in July
saint-vincent-and-the-grenadines,Tuesday,Jul 07,Vincy Mas,National Holiday,Day After Carnival Monday
saint-vincent-and-the-grenadines,Saturday,Aug 01,Emancipation Day,National Holiday,
saint-vincent-and-the-grenadines,Monday,Oct 26,Independence Day,National Holiday,National Day
saint-vincent-and-the-grenadines,Friday,Dec 25,Christmas Day,National Holiday,
saint-vincent-and-the-grenadines,Saturday,Dec 26,Boxing Day,National Holiday,
samoa,Thursday,Jan 01,New Year's Day,National Holiday,
samoa,Friday,Jan 02,Day after New Year's Day,National Holiday,
samoa,Friday,Apr 03,Good Friday,National Holiday,
samoa,Saturday,Apr 04,Holy Saturday,National Holiday,
samoa,Sunday,Apr 05,Easter Sunday,National Holiday,
samoa,Monday,Apr 06,Easter Monday,National Holiday,
samoa,Monday,May 11,Mother's Day,National Holiday,Monday after the second Sunday in May
samoa,Monday,Jun 01,Independence Day,National Holiday,National Day
samoa,Monday,Aug 10,Father's Day,National Holiday,
samoa,Monday,Oct 12,Lotu a Tamaiti Holiday,National Holiday,Monday after the second Sunday in October
samoa,Friday,Dec 25,Christmas Day,National Holiday,
samoa,Saturday,Dec 26,Boxing Day,National Holiday,
san-marino,Thursday,Jan 01,New Year's Day,National Holiday,
san-marino,Tuesday,Jan 06,Epiphany,National Holiday,
san-marino,Thursday,Feb 05,Liberation Day,National Holiday,Feast of St. Agatha
san-marino,Wednesday,Mar 25,Anniversary of the 'Arengo',National Holiday,
san-marino,Wednesday,Apr 01,Investiture of the Captains Regent,National Holiday,
san-marino,Sunday,Apr 05,Easter Sunday,National Holiday,
san-marino,Monday,Apr 06,Easter Monday,National Holiday,
san-marino,Friday,May 01,Labour Day,National Holiday,International Workers' Day
san-marino,Thursday,Jun 04,Corpus Domini,National Holiday,Second Thursday after Whitsun
san-marino,Tuesday,Jul 28,Anniversary of the Fall of Fascism and Freedom Day,National Holiday,
san-marino,Saturday,Aug 15,Assumption Day,National Holiday,
san-marino,Thursday,Sep 03,Foundation Day,National Holiday,National Day
san-marino,Thursday,Oct 01,Investiture of the Captains Regent,National Holiday,
san-marino,Sunday,Nov 01,All Saints' Day,National Holiday,
san-marino,Monday,Nov 02,Commemoration of the Dead,National Holiday,
san-marino,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,
san-marino,Thursday,Dec 24,Christmas Eve,Not A Public Holiday,Bank Holiday
san-marino,Friday,Dec 25,Christmas Day,National Holiday,
san-marino,Saturday,Dec 26,St. Stephen's Day,National Holiday,
san-marino,Thursday,Dec 31,New Year's Eve,Not A Public Holiday,Bank Holiday
sao-tome-and-principe,Thursday,Jan 01,New Year's Day,Ano Novo,
sao-tome-and-principe,Tuesday,Feb 03,Martyrs Day,Dia dos Mártires,
sao-tome-and-principe,Friday,Apr 03,Good Friday,Boa sexta-feira,
sao-tome-and-principe,Friday,May 01,Labour Day,Dia do trabalhador,International Workers' Day
sao-tome-and-principe,Sunday,Jul 12,Independence Day,Dia da Independência,National Day
sao-tome-and-principe,Sunday,Sep 06,Armed Forces Day,Dia das Forças Armadas,
sao-tome-and-principe,Wednesday,Sep 30,Agricultural Reform Day,Dia da Reforma Agrária,
sao-tome-and-principe,Monday,Dec 21,São Tomé Day,Dia de São Tomé,
sao-tome-and-principe,Friday,Dec 25,Christmas Day,Natal,
saudi-arabia,Sunday,Feb 22,Foundation Day,National Holiday,
saudi-arabia,Wednesday,Mar 11,Saudi Flag Day,Not A Public Holiday,
saudi-arabia,Thursday,Mar 19,Eid Al Fitr,National Holiday,End of Ramadan
saudi-arabia,Friday,Mar 20,Eid Al Fitr Holiday,National Holiday,
saudi-arabia,Saturday,Mar 21,Eid Al Fitr Holiday,National Holiday,
saudi-arabia,Sunday,Mar 22,Eid Al Fitr Holiday,National Holiday,
saudi-arabia,Tuesday,May 26,Eid Al Adha,National Holiday,Date to be confirmed. Arafat (Haj) Day
saudi-arabia,Wednesday,May 27,Eid Al Adha,National Holiday,Date varies on Lunar cycle
saudi-arabia,Thursday,May 28,Eid Al Adha,National Holiday,Date to be confirmed.
saudi-arabia,Friday,May 29,Eid Al Adha,National Holiday,Date to be confirmed.
saudi-arabia,Saturday,May 30,Eid Al Adha,Government Holiday,Date to be confirmed. Public sector only
saudi-arabia,Sunday,May 31,Eid Al Adha,Government Holiday,Date to be confirmed. Public sector only
saudi-arabia,Wednesday,Sep 23,National Day,National Holiday,The day of the unification of the Kingdom
senegal,Thursday,Jan 01,New Year's Day,National Holiday,
senegal,Friday,Mar 20,Korité,National Holiday,End of Ramadan
senegal,Saturday,Apr 04,Independence Day,National Holiday,National Day
senegal,Monday,Apr 06,Easter Monday,National Holiday,
senegal,Friday,May 01,Labour Day,National Holiday,International Workers' Day
senegal,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
senegal,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
senegal,Thursday,May 28,Tabaski,National Holiday,Feast of the Sacrifice
senegal,Friday,Jun 26,Tamkarit,National Holiday,Ashoura
senegal,Sunday,Aug 02,Grand Magal of Touba,National Holiday,18th of Safar
senegal,Saturday,Aug 15,Assumption Day,National Holiday,
senegal,Tuesday,Aug 25,Prophet Mohammed's Birthday,National Holiday,Birthday of Prophet Muhammad
senegal,Sunday,Nov 01,All Saints' Day,National Holiday,
senegal,Friday,Dec 25,Christmas Day,National Holiday,
serbia,Thursday,Jan 01,New Year's Day,National Holiday,
serbia,Friday,Jan 02,New Year's Holiday,National Holiday,
serbia,Wednesday,Jan 07,Orthodox Christmas,National Holiday,
serbia,Wednesday,Jan 14,Serbian New Year,Not A Public Holiday,Working public holiday
serbia,Tuesday,Jan 27,St. Sava's Day,Not A Public Holiday,Working public holiday
serbia,Sunday,Feb 15,Sovereignty Day,National Holiday,
serbia,Monday,Feb 16,Sovereignty Day Holiday,National Holiday,
serbia,Friday,Apr 10,Good Friday (Orthodox),National Holiday,
serbia,Saturday,Apr 11,Orthodox Holy Saturday,National Holiday,Orthodox Holy Saturday
serbia,Sunday,Apr 12,Orthodox Easter Day,National Holiday,
serbia,Monday,Apr 13,Orthodox Easter Monday,National Holiday,
serbia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
serbia,Saturday,May 02,Labour Day Holiday,National Holiday,
serbia,Saturday,May 09,Europe Day,Not A Public Holiday,Working public holiday
serbia,Sunday,Jun 28,St. Vitus' Day,Not A Public Holiday,Working public holiday
serbia,Wednesday,Oct 21,Remembrance Day,Not A Public Holiday,Working public holiday
serbia,Wednesday,Nov 11,Armistice Day,National Holiday,
seychelles,Thursday,Jan 01,New Year's Day,National Holiday,
seychelles,Friday,Jan 02,Day after New Year's Day,National Holiday,
seychelles,Friday,Apr 03,Good Friday,National Holiday,
seychelles,Saturday,Apr 04,Holy Saturday,National Holiday,
seychelles,Monday,Apr 06,Easter Monday,National Holiday,
seychelles,Friday,May 01,Labour Day,National Holiday,International Workers' Day
seychelles,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
seychelles,Thursday,Jun 18,Constitutional Day,National Holiday,
seychelles,Monday,Jun 29,Independence Day,National Holiday,National Day
seychelles,Tuesday,Jun 30,Independence Day,National Holiday,National Day
seychelles,Saturday,Aug 15,Assumption Day,National Holiday,La Digue Festival
seychelles,Sunday,Nov 01,All Saints' Day,National Holiday,
seychelles,Tuesday,Dec 08,Immaculate Conception,National Holiday,
seychelles,Friday,Dec 25,Christmas Day,National Holiday,
sierra-leone,Thursday,Jan 01,New Year's Day,National Holiday,
sierra-leone,Wednesday,Feb 18,Armed Forces Day,National Holiday,
sierra-leone,Sunday,Mar 08,International Women's Day,National Holiday,
sierra-leone,Friday,Mar 20,Eid Al Fitr,National Holiday,End of Ramadan
sierra-leone,Friday,Apr 03,Good Friday,National Holiday,
sierra-leone,Monday,Apr 06,Easter Monday,National Holiday,
sierra-leone,Monday,Apr 27,Independence Day,National Holiday,National Day
sierra-leone,Friday,May 01,Labour Day,National Holiday,
sierra-leone,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
sierra-leone,Tuesday,Aug 25,Maulid-un-Nabi,National Holiday,Birthday of Prophet Muhammad
sierra-leone,Friday,Dec 25,Christmas Day,National Holiday,
sierra-leone,Saturday,Dec 26,Boxing Day,National Holiday,
singapore,Thursday,Jan 01,New Year's Day,National Holiday,
singapore,Tuesday,Feb 17,Chinese New Year,National Holiday,1st 2 days of Chinese Lunar New Year
singapore,Wednesday,Feb 18,Chinese New Year,National Holiday,1st 2 days of Chinese Lunar New Year
singapore,Saturday,Mar 21,Hari Raya Puasa,National Holiday,End of Ramadan
singapore,Friday,Apr 03,Good Friday,National Holiday,
singapore,Friday,May 01,Labour Day,National Holiday,International Workers' Day
singapore,Wednesday,May 27,Hari Raya Haji,National Holiday,Feast of the sacrifice
singapore,Sunday,May 31,Vesak Day,National Holiday,Birth of Buddha
singapore,Monday,Jun 01,Vesak Day (in lieu),National Holiday,Birth of Buddha
singapore,Sunday,Aug 09,National Day,National Holiday,
singapore,Monday,Aug 10,National Day (in lieu),National Holiday,
singapore,Sunday,Nov 08,Deepavali,National Holiday,Dewali
singapore,Monday,Nov 09,Deepavali (in lieu),National Holiday,Dewali
singapore,Friday,Dec 25,Christmas Day,National Holiday,
sint-maarten,Thursday,Jan 01,New Year's Day,
sint-maarten,Friday,Apr 03,Good Friday,
sint-maarten,Sunday,Apr 05,Easter Sunday,
sint-maarten,Monday,Apr 06,Easter Monday,
sint-maarten,Monday,Apr 27,King's Day,National Day
sint-maarten,Thursday,Apr 30,Carnival Day,
sint-maarten,Friday,May 01,Labour Day,International Workers' Day
sint-maarten,Thursday,May 14,Ascension Day,39 days after Easter Sunday
sint-maarten,Sunday,May 24,Whit Sunday,50 Days after Easter
sint-maarten,Wednesday,Jul 01,Emancipation Day,
sint-maarten,Monday,Oct 12,Constitution Day,Second Monday in October
sint-maarten,Wednesday,Nov 11,Sint Maarten's Day,
sint-maarten,Friday,Dec 25,Christmas Day,
sint-maarten,Saturday,Dec 26,St. Stephen's Day,
slovakia,Thursday,Jan 01,Day of the Establishment of the Slovak Republic,National Holiday,National Day
slovakia,Tuesday,Jan 06,Three Kings' Day,Not A Public Holiday,
slovakia,Friday,Apr 03,Good Friday,National Holiday,
slovakia,Monday,Apr 06,Easter Monday,National Holiday,Dyngus Day
slovakia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
slovakia,Friday,May 08,Day of victory over fascism,Not A Public Holiday,
slovakia,Sunday,Jul 05,St Cyril and Methodius Day,National Holiday,
slovakia,Saturday,Aug 29,Slovak National Uprising Day,National Holiday,
slovakia,Tuesday,Sep 01,Constitution Day,Not A Public Holiday,Working Public Holiday
slovakia,Tuesday,Sep 15,Day of Our Lady of Sorrows,National Holiday,
slovakia,Sunday,Nov 01,All Saints' Day,National Holiday,
slovakia,Tuesday,Nov 17,Day of Freedom and Democracy,Not A Public Holiday,
slovakia,Thursday,Dec 24,Christmas Eve,National Holiday,
slovakia,Friday,Dec 25,Christmas Day,National Holiday,First Christmas Holiday
slovakia,Saturday,Dec 26,St. Stephen's Day,National Holiday,Second Christmas Holiday
slovenia,Thursday,Jan 01,New Year's Day,National Holiday,State holiday
slovenia,Friday,Jan 02,New Year's Holiday,National Holiday,State Holiday
slovenia,Sunday,Feb 08,Prešeren Day,National Holiday,State holiday
slovenia,Sunday,Apr 05,Easter Sunday,National Holiday,Work-free day
slovenia,Monday,Apr 06,Easter Monday,National Holiday,Work-free day
slovenia,Monday,Apr 27,Resistance Day,National Holiday,State holiday
slovenia,Friday,May 01,May Day,National Holiday,State holiday
slovenia,Saturday,May 02,May Day Holiday,National Holiday,State holiday
slovenia,Sunday,May 24,Whit Sunday,National Holiday,Work-free day
slovenia,Thursday,Jun 25,Statehood Day,National Holiday,State holiday
slovenia,Saturday,Aug 15,Assumption Day,National Holiday,Work-free day
slovenia,Saturday,Oct 31,Reformation Day,National Holiday,State holiday
slovenia,Sunday,Nov 01,Day of Remembrance of the Dead,National Holiday,State holiday
slovenia,Friday,Dec 25,Christmas Day,National Holiday,Work-free day
slovenia,Saturday,Dec 26,Independence and Unity Day,National Holiday,State holiday
solomon-islands,Thursday,Jan 01,New Year's Day,Public Holiday,
solomon-islands,Friday,Apr 03,Good Friday,Public Holiday,
solomon-islands,Saturday,Apr 04,Holy Saturday,Public Holiday,
solomon-islands,Monday,Apr 06,Easter Monday,Public Holiday,
solomon-islands,Monday,May 25,Whit Monday,Public Holiday,7th Monday after Easter
solomon-islands,Friday,Jun 12,King Charles' Birthday,Public Holiday,Friday before second Saturday in June
solomon-islands,Tuesday,Jul 07,Independence Day,Public Holiday,National Day
solomon-islands,Friday,Dec 25,Christmas Day,Public Holiday,
solomon-islands,Saturday,Dec 26,National Day of Thanksgiving,Public Holiday,
somalia,Thursday,Jan 01,New Year's Day,National Holiday,
somalia,Friday,Jan 16,Mi'raaj Nabi,National Holiday,
somalia,Friday,Mar 20,Eid-ul-Fitr,National Holiday,End of Ramadan
somalia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
somalia,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
somalia,Tuesday,Jun 16,Islamic New Year,National Holiday,
somalia,Friday,Jun 26,Ashura,National Holiday,10 Muharram
somalia,Friday,Jun 26,Independence Day,National Holiday,
somalia,Wednesday,Jul 01,Republic Day,National Holiday,National Day
somalia,Tuesday,Aug 25,Mawlid Nabi,National Holiday,Birthday of Prophet Muhammad
somalia,Friday,Dec 25,Christmas Day,National Holiday,
south-africa,Thursday,Jan 01,New Year's Day,National Holiday,
south-africa,Saturday,Mar 21,Human Rights Day,National Holiday,
south-africa,Friday,Apr 03,Good Friday,National Holiday,
south-africa,Monday,Apr 06,Family Day,National Holiday,Easter Monday
south-africa,Monday,Apr 27,Freedom Day,National Holiday,National Day
south-africa,Friday,May 01,Workers' Day,National Holiday,International Workers' Day
south-africa,Tuesday,Jun 16,Youth Day,National Holiday,
south-africa,Sunday,Aug 09,National Women's Day,National Holiday,
south-africa,Monday,Aug 10,National Women's Day (in lieu),National Holiday,
south-africa,Thursday,Sep 24,Heritage Day,National Holiday,
south-africa,Wednesday,Dec 16,Day of Reconciliation,National Holiday,
south-africa,Friday,Dec 25,Christmas Day,National Holiday,
south-africa,Saturday,Dec 26,Day of Goodwill,National Holiday,Boxing Day prior to 1994
south-korea,Thursday,Jan 01,New Year's Day,National Holiday,
south-korea,Monday,Feb 16,Korean New Year Holiday,National Holiday,Seollal
south-korea,Tuesday,Feb 17,Korean New Year,National Holiday,Seollal
south-korea,Wednesday,Feb 18,Korean New Year Holiday,National Holiday,Seollal
south-korea,Sunday,Mar 01,March 1st Movement,National Holiday,Independence Movement Day
south-korea,Monday,Mar 02,March 1st Movement (in lieu),National Holiday,Substitute Holiday
south-korea,Friday,May 01,Labor Day,Not A Public Holiday,Not an official holiday but widely observed
south-korea,Tuesday,May 05,Children's Day,National Holiday,
south-korea,Sunday,May 24,Buddha's Birthday,National Holiday,8th day of 4th lunar month
south-korea,Monday,May 25,Buddha's Birthday (in lieu),National Holiday,Substitute Holiday
south-korea,Saturday,Jun 06,Memorial Day,National Holiday,
south-korea,Friday,Jul 17,Constitution Day,National Holiday,
south-korea,Saturday,Aug 15,Liberation Day,National Holiday,National Day
south-korea,Monday,Aug 17,Liberation Day (in lieu),National Holiday,Substitute Holiday
south-korea,Thursday,Sep 24,Harvest Festival Holiday,National Holiday,Day before Chuseok
south-korea,Friday,Sep 25,Harvest Festival,National Holiday,Chuseok
south-korea,Saturday,Sep 26,Harvest Festival Holiday,National Holiday,Day after Chuseok
south-korea,Saturday,Oct 03,National Foundation Day,National Holiday,
south-korea,Monday,Oct 05,National Foundation Day (in lieu),National Holiday,Substitute Holiday
south-korea,Friday,Oct 09,Hangeul Day,National Holiday,Korean alphabet day
south-korea,Friday,Dec 25,Christmas Day,National Holiday,
south-sudan,Thursday,Jan 01,New Year's Day,National Holiday,
south-sudan,Friday,Mar 20,Eid Al Fitr,National Holiday,End of Ramadan
south-sudan,Saturday,Mar 21,Eid Al Fitr Holiday,National Holiday,
south-sudan,Friday,Apr 03,Good Friday,National Holiday,
south-sudan,Saturday,Apr 04,Holy Saturday,National Holiday,
south-sudan,Sunday,Apr 05,Easter Sunday,National Holiday,
south-sudan,Monday,Apr 06,Easter Monday,National Holiday,
south-sudan,Friday,May 01,Labour Day,National Holiday,International Workers' Day
south-sudan,Saturday,May 16,SPLA Day,National Holiday,
south-sudan,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
south-sudan,Friday,May 29,Eid Al Adha Holiday,National Holiday,
south-sudan,Thursday,Jul 09,Independence Day,National Holiday,National Day
south-sudan,Thursday,Jul 30,Martyrs' Day,National Holiday,
south-sudan,Thursday,Dec 24,Christmas Holiday,National Holiday,
south-sudan,Friday,Dec 25,Christmas Day,National Holiday,
south-sudan,Saturday,Dec 26,Christmas Holiday,National Holiday,
spain,Thursday,Jan 01,New Year's Day,Public Holiday,
spain,Tuesday,Jan 06,Epiphany,Public Holiday,
spain,Saturday,Feb 28,Andalucía Day,Regional Holiday,Andalucía
spain,Monday,Mar 02,Balearic Day (in lieu),Regional Holiday,Balearic Islands
spain,Thursday,Mar 19,St. Joseph's Day,Regional Holiday,Several regions
spain,Thursday,Mar 19,Father's Day,Not A Public Holiday,Celebrated on St. Joseph's day
spain,Friday,Mar 20,End of Ramadan,Regional Holiday,Melilla
spain,Thursday,Apr 02,Holy Thursday,Regional Holiday,except Catalonia and Valenciana
spain,Friday,Apr 03,Good Friday,Public Holiday,
spain,Monday,Apr 06,Easter Monday,Regional Holiday,Several regions
spain,Friday,Apr 17,Feast of San Vincent Ferrer,Regional Holiday,Valencia only
spain,Thursday,Apr 23,St. George's Day,Regional Holiday,National day of Aragon
